date,open,close,high,low,amount
2024-03-29,57.63,57.27,58.78,56.71,254689.0
2024-04-01,57.55,59.27,59.33,57.15,327712.0
2024-04-02,59.05,59.3,59.58,58.8,226536.0
2024-04-03,59.25,59.78,59.95,59.03,206265.0
2024-04-08,59.77,58.37,59.9,57.72,324345.0
2024-04-09,58.05,58.09,58.65,57.87,194783.0
2024-04-10,57.92,58.22,59.25,57.61,180820.0
2024-04-11,58.0,58.12,59.0,57.66,190048.0
2024-04-12,58.04,57.94,58.65,57.63,217344.0
2024-04-15,57.94,59.89,60.05,57.76,317837.0
2024-04-16,59.83,61.36,61.82,59.62,391914.0
2024-04-17,61.05,61.63,61.85,60.03,245496.0
2024-04-18,61.63,63.05,64.38,61.43,395421.0
2024-04-19,62.48,63.05,63.63,62.48,288123.0
2024-04-22,63.25,63.03,64.24,62.55,289438.0
2024-04-23,62.88,61.44,63.05,60.64,382179.0
2024-04-24,61.39,60.95,61.69,59.8,307830.0
2024-04-25,60.18,61.29,61.61,60.18,220333.0
2024-04-26,61.3,61.42,61.7,60.47,242257.0
2024-04-29,61.35,61.25,61.93,60.28,332264.0
2024-04-30,59.89,62.83,64.2,59.85,571318.0
2024-05-06,63.55,64.06,64.51,62.7,461799.0
2024-05-07,63.86,64.15,65.38,63.67,304315.0
2024-05-08,63.55,63.8,64.39,63.44,176620.0
2024-05-09,64.05,64.9,65.39,63.67,285718.0
2024-05-10,65.25,64.93,65.38,64.39,224879.0
2024-05-13,64.93,65.76,66.04,63.75,271674.0
2024-05-14,65.73,63.89,65.94,63.25,399236.0
2024-05-15,64.53,65.79,66.13,64.14,301895.0
2024-05-16,65.79,65.37,65.83,64.83,246004.0
2024-05-17,64.81,64.06,65.53,62.55,418483.0
2024-05-20,63.04,62.6,63.91,62.24,426430.0
2024-05-21,62.3,62.58,63.33,62.23,243588.0
2024-05-22,62.37,61.44,62.57,61.34,261052.0
2024-05-23,61.43,61.77,62.22,61.03,240961.0
2024-05-24,61.43,62.65,63.01,61.13,259270.0
2024-05-27,62.53,63.62,64.31,61.57,305462.0
